file :4 block_id:1 --> bbed : Data File Header
file :4 block_id:95 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:96 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:97 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:98 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:99 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:100 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:101 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:102 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:103 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:104 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:105 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:106 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:107 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:108 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:109 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:110 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:111 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:112 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:113 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:114 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:115 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:116 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:117 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:118 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:119 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:120 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:121 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:122 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:123 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:124 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:125 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:126 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:127 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:128 --> bbed :BBED-00400: invalid blocktype (32)
file :4 block_id:129 --> bbed :BBED-00400: invalid blocktype (33)
file :4 block_id:130 --> bbed :BBED-00400: invalid blocktype (35)
file :4 block_id:131 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:132 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:133 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:134 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:135 --> bbed : KTB Data Block (Table/Cluster)
